"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","choice_blocks"
"true","fullscreen","0","5147","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","5160","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc1","2","51478","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","730","859","10","Female","<div class='center'><p>Welcome! This is the first part of the study. It will last ~30 minutes. In part 1 and part 2 of the study, you are the head captain of a pirate ship traveling around the world to different islands. You will play a few different games throughout these two parts. Here is an overview of them:</p><br><p>Part 1 (today)</p><p>1. Instructions, practice game, and quiz</p><p>2. Pick a pirate game on 6 different islands</p><br><p>Part 2 (tomorrow)</p><p>3. Pick a pirate game and memory game</p><p>4. Where did you see this ship? </p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","52298","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","814.7000000476837","<div class='center'><p>Welcome! This is the first part of the study. It will last ~30 minutes. In part 1 and part 2 of the study, you are the head captain of a pirate ship traveling around the world to different islands. You will play a few different games throughout these two parts. Here is an overview of them:</p><br><p>Part 1 (today)</p><p>1. Instructions, practice game, and quiz</p><p>2. Pick a pirate game on 6 different islands</p><br><p>Part 2 (tomorrow)</p><p>3. Pick a pirate game and memory game</p><p>4. Where did you see this ship? </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc2","4","57636","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_2_different_places.m4a","null","","","","","<div class='center'><p>Today, you’ll visit these 6 islands on your journey. You'll be able to see these islands from your ship.</p><p><img src='run_exp/static/images/contexts/all_contexts.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","60040","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","2397.800000190735","<div class='center'><p>Today, you’ll visit these 6 islands on your journey. You'll be able to see these islands from your ship.</p><p><img src='run_exp/static/images/contexts/all_contexts.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc3","6","69757","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_3_goal_of_game_1.m4a","null","","","","","<div class='center'><p> The pirates on your ship will rob other ships as they leave the island.</p> These ships have just sold their goods to the islanders, so they will be filled with lots and lots of gold.</p><p><img src='run_exp/static/images/tutorial/ship_center.png' height='400'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","70723","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","963.5","<div class='center'><p> The pirates on your ship will rob other ships as they leave the island.</p> These ships have just sold their goods to the islanders, so they will be filled with lots and lots of gold.</p><p><img src='run_exp/static/images/tutorial/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc4","8","98737","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_4_goal_of_game_2.m4a","null","","","","","<div class='center'><p>As the head captain, you do not have to rob any ships yourself. Another pirate will be doing the robbing for you. First, you will choose a pirate to rob the next ship.</p><p><img src='run_exp/static/images/tutorial/pirates_all_crop.png' height='200'></p><p>Then, you'll see if the pirate successfully robbed the ship of their gold. If they were successful, then you'll get a stack of gold coins like this:</p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were <b>not</b> successful, then you'll get no gold coins, and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p> How much bonus money you make is based on how many gold coins you collect.</p><div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","101286","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","2544.7999999523163","<div class='center'><p>As the head captain, you do not have to rob any ships yourself. Another pirate will be doing the robbing for you. First, you will choose a pirate to rob the next ship.</p><p><img src='run_exp/static/images/tutorial/pirates_all_crop.png' height='200'></p><p>Then, you'll see if the pirate successfully robbed the ship of their gold. If they were successful, then you'll get a stack of gold coins like this:</p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were <b>not</b> successful, then you'll get no gold coins, and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p> How much bonus money you make is based on how many gold coins you collect.</p<p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc5","10","122645","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","21355.200000047684","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","124160","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","124458","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","294.2999999523163","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","125964","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","126845","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","878.7000000476837","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","128362","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","129442","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","1078.4000000953674","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","130960","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","131168","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","204.5","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","132680","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","133267","0.0-20.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","584","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","134783","0.0-21.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","135455","0.0-22.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","669.5","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","136964","0.0-23.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","137642","0.0-24.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","676.4000000953674","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","139149","0.0-25.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","139738","0.0-26.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","587.3999998569489","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","141251","0.0-27.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","143321","0.0-28.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","2067.5999999046326","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","144833","0.0-29.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc6","30","151583","0.0-30.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","152928","0.0-31.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","1343.0999999046326","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","32","168166","0.0-32.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","15234.799999952316","run_exp/static/audio/clip_7_pick_pirate.m4a","51","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","33","170316","0.0-33.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","2142.7000000476837","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","34","171894","0.0-33.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","1573.6000001430511","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","50","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","35","173206","0.0-34.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","1307.2999999523163","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc9","36","178725","0.0-35.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","180116","0.0-35.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4179""
","
","1388.2999999523163","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
