"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","4883","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","","","","","","","","","","",""
"","pavlovia","1","4886","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","","","","","","","","","","",""
"","welcome","2","39700","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","490","891","23","Female","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","40325","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","619.8999999761581","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","42050","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","1723.4000000357628","run_exp/static/images/Set 6_rs/172a.jpg","78","","","","","","learn","SR",""
"","show_choice","5","42328","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/images/Set 6_rs/172a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","6","42830","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","<p></p>","null","","","","","","","",""
"","image","7","43936","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","1105.5","run_exp/static/images/Set 6_rs/057a.jpg","86","","","","","","learn","SL",""
"","show_choice","8","44833","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/images/Set 6_rs/057a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","9","45334","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","<p></p>","null","","","","","","","",""
"","image","10","46633","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","1297.300000011921","run_exp/static/images/Set 6_rs/138a.jpg","78","","","","","","learn","SL",""
"","show_choice","11","47336","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/images/Set 6_rs/138a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","12","47838","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","<p></p>","null","","","","","","","",""
"","image","13","48811","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","971.8999999761581","run_exp/static/images/Set 6_rs/010a.jpg","86","","","","","","learn","SR",""
"","show_choice","14","49841","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/images/Set 6_rs/010a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","15","50342","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","<p></p>","null","","","","","","","",""
"","image","16","51732","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","1389.699999988079","run_exp/static/images/Set 6_rs/168a.jpg","86","","","","","","learn","SL",""
"","show_choice","17","52344","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","run_exp/static/images/Set 6_rs/168a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","52846","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","null","<p></p>","null","","","","","","","",""
"","image","19","53637","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3920""
","
","790","run_exp/static/images/Set 6_rs/154a.jpg","86","","","","","","learn","SR",""
