"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","4512","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","","","","","","","","","","",""
"","pavlovia","1","4518","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","","","","","","","","","","",""
"","welcome","2","39295","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","636","171","8","Male","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","56646","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","17345.19999998808","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","58653","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/178a.jpg","null","","","","","","learn","SR",""
"","show_choice","5","60655","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/blank.png","null","","","","","","learn","SR",""
"","html-keyboard-response","6","61166","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","7","62431","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","1262.7000000178814","run_exp/static/images/Set 6_rs/075a.jpg","86","","","","","","learn","SR",""
"","show_choice","8","63184","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/075a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","9","63699","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","10","65220","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","1519.4000000059605","run_exp/static/images/Set 6_rs/016a.jpg","86","","","","","","learn","SL",""
"","show_choice","11","65702","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/016a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","12","66209","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","13","67370","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","1158.5","run_exp/static/images/Set 6_rs/025a.jpg","86","","","","","","learn","SL",""
"","show_choice","14","68227","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","15","68741","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","16","69572","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","829.0999999940395","run_exp/static/images/Set 6_rs/186a.jpg","86","","","","","","learn","SR",""
"","show_choice","17","70755","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/186a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","18","71268","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","19","73000","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","1730.0999999940395","run_exp/static/images/Set 6_rs/063a.jpg","86","","","","","","learn","SR",""
"","show_choice","20","73277","0.0-20.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/063a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","73780","0.0-21.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","22","74554","0.0-22.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","772.5","run_exp/static/images/Set 6_rs/177a.jpg","78","","","","","","learn","SR",""
"","show_choice","23","75790","0.0-23.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/177a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","24","76297","0.0-24.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","25","77386","0.0-25.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","1087.5","run_exp/static/images/Set 6_rs/023a.jpg","86","","","","","","learn","SR",""
"","show_choice","26","78304","0.0-26.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/023a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","27","78816","0.0-27.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","28","79811","0.0-28.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","992.5","run_exp/static/images/Set 6_rs/024a.jpg","86","","","","","","learn","SR",""
"","show_choice","29","80827","0.0-29.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/024a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","30","81338","0.0-30.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","<p></p>","null","","","","","","","",""
"","image","31","82313","0.0-31.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","973.2000000178814","run_exp/static/images/Set 6_rs/057a.jpg","86","","","","","","learn","SL",""
"","show_choice","32","83355","0.0-32.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3542""
","
","null","run_exp/static/images/Set 6_rs/057a.jpg","null","","","","","","learn","SL",""
