"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","2762","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","","","","","","","","","","",""
"","pavlovia","1","2768","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","","","","","","","","","","",""
"","welcome","2","37520","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","1039","1182","17","Female","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","51999","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","14475.10000000149","<div class='center'><p>Welcome to the third part of the study! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or an outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","54002","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","run_exp/static/images/Set 6_rs/007a.jpg","null","","","","","","learn","SR",""
"","show_choice","5","56004","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","run_exp/static/images/blank.png","null","","","","","","learn","SR",""
"","html-keyboard-response","6","56506","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","<p></p>","null","","","","","","","",""
"","image","7","57720","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","1211.5999999977648","run_exp/static/images/Set 6_rs/111a.jpg","86","","","","","","learn","SL",""
"","show_choice","8","58511","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","run_exp/static/images/Set 6_rs/111a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","9","59013","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","<p></p>","null","","","","","","","",""
"","image","10","60131","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","1116.300000000745","run_exp/static/images/Set 6_rs/025a.jpg","78","","","","","","learn","SL",""
"","show_choice","11","61016","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","12","61518","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","null","<p></p>","null","","","","","","","",""
"","image","13","63187","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1805""
","
","1664.199999999255","run_exp/static/images/Set 6_rs/169a.jpg","78","","","","","","learn","SR",""
