"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","probe","probed_trial_n","probed_context_n"
"true","fullscreen","0","3951","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","3955","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","welc_back","2","16616","0.0-2.0","null","run_exp/static/audio/clip_29_welcome_back.m4a","null","161","384","10","Female","<div class='center'><p>Welcome to day 2!</p><p> Yesterday, you were the head captain of a pirate ship. You and your fellow pirates robbed ships for their gold and traveled to six different islands .</p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","17998","0.0-3.0","1378.3999999761581","<div class='center'><p>Welcome to day 2!</p><p> Yesterday, you were the head captain of a pirate ship. You and your fellow pirates robbed ships for their gold and traveled to six different islands .</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","day_1_summary_goal","4","37976","0.0-4.0","null","run_exp/static/audio/clip_30_goal_of_game.m4a","null","","","","","<div class='center'><p>Today, like yesterday, you get to pick which pirate you want to rob the next ship.</p><p>If the pirate is successful in robbing a ship, you get gold coins that look like this: </p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were not successful in robbing the ship, then you will get no gold coins and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","40292","0.0-5.0","2312.2000000476837","<div class='center'><p>Today, like yesterday, you get to pick which pirate you want to rob the next ship.</p><p>If the pirate is successful in robbing a ship, you get gold coins that look like this: </p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were not successful in robbing the ship, then you will get no gold coins and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","day_1_summary_pick","6","58136","0.0-6.0","null","run_exp/static/audio/clip_31_how_to_pick_a_pirate.m4a","null","","","","","<div class='center'><p>Also, just like yesterday, you will use the 1,2,3 keys on your keyboard to pick a pirate. Press '1' to choose red beard, '2' to choose white beard, and '3' to choose black beard . You only have 3 seconds to pick a pirate, so please make a choice quickly!</p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","59333","0.0-7.0","1195.3000000715256","<div class='center'><p>Also, just like yesterday, you will use the 1,2,3 keys on your keyboard to pick a pirate. Press '1' to choose red beard, '2' to choose white beard, and '3' to choose black beard . You only have 3 seconds to pick a pirate, so please make a choice quickly!</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","test_phase_begin","8","95216","0.0-8.0","null","run_exp/static/audio/clip_32_final_place.m4a","null","","","","","<div class='center'><p>You’ve arrived at the final island of your journey! Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the other islands you've visited.</p><p>You’ll still be deciding which pirate you want to rob a ship like before. However, because of the fog, you also won’t be able to see the ship.</p><p>This means you do not have to remember the ships you rob on this island.</p><p>Unlike yesterday, you won't be visiting multiple islands today. You will stay on this island for the entire game. This game will last ~30 minutes.</p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","96685","0.0-9.0","1466.6000000238419","<div class='center'><p>You’ve arrived at the final island of your journey! Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the other islands you've visited.</p><p>You’ll still be deciding which pirate you want to rob a ship like before. However, because of the fog, you also won’t be able to see the ship.</p><p>This means you do not have to remember the ships you rob on this island.</p><p>Unlike yesterday, you won't be visiting multiple islands today. You will stay on this island for the entire game. This game will last ~30 minutes.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_probe_1","10","106136","0.0-10.0","null","run_exp/static/audio/clip_33_recognition_1.m4a","null","","","","","<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","109723","0.0-11.0","3584.600000023842","<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_probe_2","12","136577","0.0-12.0","null","run_exp/static/audio/clip_34_recognition_2.m4a","null","","","","","<div class='center'><p> You will press the 5, 6, 7, 8 keys on your keyboard to respond.</p><p>If you are very sure saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you  saw it before but are not sure, then press <b>6</b>.</p><p> If you think you have <b>not</b> seen it before but are not sure, then press <b>7</b>.</p><p> If you are sure you did <b>not</b> see the ship before, then press <b>8</b>.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","138796","0.0-13.0","2215.899999976158","<div class='center'><p> You will press the 5, 6, 7, 8 keys on your keyboard to respond.</p><p>If you are very sure saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you  saw it before but are not sure, then press <b>6</b>.</p><p> If you think you have <b>not</b> seen it before but are not sure, then press <b>7</b>.</p><p> If you are sure you did <b>not</b> see the ship before, then press <b>8</b>.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_outcome","14","160376","0.0-14.0","null","run_exp/static/audio/clip_35_recognition_3.m4a","null","","","","","<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","161018","0.0-15.0","638","<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","begin_test_phase","16","185556","0.0-16.0","null","run_exp/static/audio/clip_36_begin_final.m4a","null","","","","","<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw the ship. </p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","185619","0.0-17.0","0.20000004768371582","<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw the ship. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","do_welcome","18","189636","0.0-18.0","null","","","","","","","","null","","","","","","","","","","","","","","","","",""
"","do_trial","19","193635","0.0-19.0-0.0","1400","","","","","","","","49","0,0,1","6","blank","230","null","0.2417437324301335","0.15517783496240964","0.4803801192546622","0","","","","","","","",""
"","html-keyboard-response","20","194653","0.0-19.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","21","197568","0.0-20.0-0.0","308.10000002384186","","","","","","","","50","0,0,1","6","blank","231","null","0.20272072616722614","0.09902114105163375","0.6415556296187669","0","","","","","","","",""
"","html-keyboard-response","22","198584","0.0-20.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","23","201552","0.0-21.0-0.0","368.6999999284744","","","","","","","","51","0,0,0","6","blank","232","null","0.22997914949354495","0.15344267504521963","0.6050344370308962","0","","","","","","","",""
"","html-keyboard-response","24","202561","0.0-21.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","25","205810","0.0-22.0-0.0","684","","","","","","","","49","1,0,0","6","blank","233","null","0.22874305532735378","0.09887699186098611","0.6607242231372996","1","","","","","","","",""
"","html-keyboard-response","26","206815","0.0-22.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","27","209690","0.0-23.0-0.0","324.7999999523163","","","","","","","","49","0,0,0","6","blank","234","null","0.20979489213850655","0.13616837529964368","0.7276760862179651","0","","","","","","","",""
"","html-keyboard-response","28","210706","0.0-23.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","29","213666","0.0-24.0-0.0","388.3000000715256","","","","","","","","50","0,1,0","6","blank","235","null","0.23055637027366324","0.1158101664923593","0.6951857722799071","1","","","","","","","",""
"","html-keyboard-response","30","214671","0.0-24.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","31","217872","0.0-25.0-0.0","597.7999999523163","","","","","","","","50","0,0,0","6","blank","236","null","0.12691237381556242","0.23412721007694337","0.6408717853558453","0","","","","","","","",""
"","html-keyboard-response","32","218878","0.0-25.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","33","222158","0.0-26.0-0.0","663","","","","","","","","51","1,0,1","6","blank","237","null","0.20440844303214384","0.2795695746834989","0.6949094484947452","1","","","","","","","",""
"","html-keyboard-response","34","223163","0.0-26.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","35","226117","0.0-27.0-0.0","381","","","","","","","","51","0,0,0","6","blank","238","null","0.2792371117561909","0.24913796436927135","0.8637755034726979","0","","","","","","","",""
"","html-keyboard-response","36","227121","0.0-27.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","37","230120","0.0-28.0-0.0","397.5","","","","","","","","49","0,0,0","6","blank","239","null","0.24133216108402175","0.21327351927308713","0.5808065245583488","0","","","","","","","",""
"","html-keyboard-response","38","231124","0.0-28.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_trial","39","234213","0.0-29.0-0.0","494.89999997615814","","","","","","","","50","0,0,1","6","blank","240","null","0.2196125406015539","0.234102424288326","0.5955498824001689","0","","","","","","","",""
"","html-keyboard-response","40","235231","0.0-29.0-1.0","null","<p></p>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","do_recog","41","241266","0.0-30.0-0.0","null","","","","","","","","null","","","","241","probe-60","","","","","1","[object Object]","123","3","0","","",""
